master,object,X_cm,Y_cm,Z_cm,yaw_deg,pitch_deg,roll_deg,scale_x,scale_y,scale_z
KRM_M04_Cube.005,Forehall solid side wall,-1600.0,0.0,-2800.0,-0.0,0.0,-0.0,0.45,28.0,12.0
KRM_M04_Cube.005,Forehall solid side wall.001,1600.0,0.0,-2800.0,-0.0,0.0,-0.0,0.45,28.0,12.0
KRM_M04_Cube.005,Entrance balcony marble deck,-970.0,480.0,-4030.0,-0.0,0.0,-0.0,12.6,3.4,0.3
KRM_M04_Cube.005,Entrance balcony marble deck.001,970.0,480.0,-4030.0,-0.0,0.0,-0.0,12.6,3.4,0.3
KRM_M04_Cube.005,Entrance wall wing,-970.0,0.0,-4200.0,-0.0,0.0,-0.0,12.6,0.5,12.0
KRM_M04_Cube.005,Entrance wall wing.001,970.0,0.0,-4200.0,-0.0,0.0,-0.0,12.6,0.5,12.0
KRM_M04_Cube.005,Entrance overdoor wall,0.0,960.0,-4200.0,-0.0,0.0,-0.0,6.8,0.5,2.4
KRM_M05_Cube.006,Entrance balcony carpet,-970.0,510.5,-4030.0,-0.0,0.0,-0.0,12.0,2.8,0.03
KRM_M05_Cube.006,Entrance balcony carpet.001,970.0,510.5,-4030.0,-0.0,0.0,-0.0,12.0,2.8,0.03
KRM_M05_Cube.006,Blue imperial standard,-500.0,180.0,-3773.0,-0.0,0.0,-0.0,1.25,0.04,2.8
KRM_M05_Cube.006,Blue imperial standard.001,500.0,180.0,-3773.0,-0.0,0.0,-0.0,1.25,0.04,2.8
KRM_M06_Cube.007,Entrance facade cornice,-970.0,18.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.001,970.0,18.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.002,-970.0,471.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.003,970.0,471.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.004,-970.0,503.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.005,970.0,503.5,-4162.0,-0.0,0.0,-0.0,12.6,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.006,0.0,1078.5,-4162.0,-0.0,0.0,-0.0,32.0,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.007,0.0,1153.5,-4162.0,-0.0,0.0,-0.0,32.0,0.22,0.13
KRM_M06_Cube.007,Entrance facade cornice.008,0.0,1193.5,-4162.0,-0.0,0.0,-0.0,32.0,0.22,0.13
KRM_M06_Cube.007,Entrance arch jamb,-315.0,0.0,-4148.0,-0.0,0.0,-0.0,0.18,0.22,6.2
KRM_M06_Cube.007,Entrance arch jamb.001,315.0,0.0,-4148.0,-0.0,0.0,-0.0,0.18,0.22,6.2
KRM_M06_Cube.007,Standard gilt border,-556.0,186.5,-3767.0,-0.0,0.0,-0.0,0.055,0.09,2.67
KRM_M06_Cube.007,Standard gilt border.001,-444.0,186.5,-3767.0,-0.0,0.0,-0.0,0.055,0.09,2.67
KRM_M06_Cube.007,Standard gilt border.002,-500.0,183.75,-3767.0,-0.0,0.0,-0.0,1.12,0.09,0.055
KRM_M06_Cube.007,Standard gilt border.003,-500.0,450.75,-3767.0,-0.0,0.0,-0.0,1.12,0.09,0.055
KRM_M06_Cube.007,Standard gilt border.004,444.0,186.5,-3767.0,-0.0,0.0,-0.0,0.055,0.09,2.67
KRM_M06_Cube.007,Standard gilt border.005,556.0,186.5,-3767.0,-0.0,0.0,-0.0,0.055,0.09,2.67
KRM_M06_Cube.007,Standard gilt border.006,500.0,183.75,-3767.0,-0.0,0.0,-0.0,1.12,0.09,0.055
KRM_M06_Cube.007,Standard gilt border.007,500.0,450.75,-3767.0,-0.0,0.0,-0.0,1.12,0.09,0.055
KRM_M07_Cylinder,Gilded collar,-1180.0,95.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.001,-1180.0,275.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.002,-1180.0,295.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.003,-1180.0,495.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.004,-1180.0,511.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.007,-1180.0,95.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.008,-1180.0,275.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.009,-1180.0,295.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.010,-1180.0,495.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.011,-1180.0,511.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.014,-1180.0,95.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.015,-1180.0,275.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.016,-1180.0,295.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.017,-1180.0,495.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.018,-1180.0,511.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.021,-1180.0,95.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.022,-1180.0,275.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.023,-1180.0,295.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.024,-1180.0,495.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.025,-1180.0,511.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.028,-1180.0,95.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.029,-1180.0,275.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.030,-1180.0,295.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.031,-1180.0,495.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.032,-1180.0,511.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.035,-1180.0,95.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.036,-1180.0,275.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.037,-1180.0,295.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.038,-1180.0,495.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.039,-1180.0,511.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.042,1180.0,95.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.043,1180.0,275.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.044,1180.0,295.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.045,1180.0,495.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.046,1180.0,511.0,-1300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.049,1180.0,95.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.050,1180.0,275.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.051,1180.0,295.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.052,1180.0,495.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.053,1180.0,511.0,-800.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.056,1180.0,95.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.057,1180.0,275.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.058,1180.0,295.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.059,1180.0,495.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.060,1180.0,511.0,-300.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.063,1180.0,95.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.064,1180.0,275.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.065,1180.0,295.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.066,1180.0,495.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.067,1180.0,511.0,200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.070,1180.0,95.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.071,1180.0,275.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.072,1180.0,295.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.073,1180.0,495.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.074,1180.0,511.0,700.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.077,1180.0,95.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.078,1180.0,275.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.079,1180.0,295.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.080,1180.0,495.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.081,1180.0,511.0,1200.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.084,-1550.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.085,-1550.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.086,-1550.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.087,-1550.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.088,-1550.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.091,-1180.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.092,-1180.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.093,-1180.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.094,-1180.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.095,-1180.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.098,-780.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.099,-780.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.100,-780.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.101,-780.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.102,-780.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.105,-360.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.106,-360.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.107,-360.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.108,-360.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.109,-360.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.112,360.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.113,360.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.114,360.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.115,360.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.116,360.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.119,780.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.120,780.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.121,780.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.122,780.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.123,780.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.126,1180.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.127,1180.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.128,1180.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.129,1180.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.130,1180.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.133,1550.0,95.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.134,1550.0,275.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.135,1550.0,295.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.136,1550.0,495.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.137,1550.0,511.0,1335.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Column base and capital.080,-1625.0,33.0,1350.0,-0.0,0.0,-0.0,0.55,0.55,0.14
KRM_M07_Cylinder,Column base and capital.082,-1625.0,536.0,1350.0,-0.0,0.0,-0.0,0.53,0.53,0.16
KRM_M07_Cylinder,Gilded collar.140,-1625.0,95.0,1350.0,-0.0,0.0,-0.0,0.35,0.35,0.1
KRM_M07_Cylinder,Gilded collar.141,-1625.0,275.0,1350.0,-0.0,0.0,-0.0,0.35,0.35,0.1
